itemname	itemprice	size	brand
אטריות דקות 400 גרם	5.9		
אטריות דקיקות 400 גרם	5.9		
אטריות דקיקות אסם 400 גר	7.9		
אטריות ל.גלוטן ברילה400ג	16.9		
אטריות מוכנות אודון200גר	5.9		
אטריות מוכנות להקפצה200ג	5.9		
אטריות מרק רחבות 400 גרם	5.9		
אטריות נודלס רחבותFU 400	8.9		
אטריות קונגאק נודלס270גר	13.5		
אטריות קלאסיות 400 גרם	7.9		
אטריות רחבות 400 גרם	7.9		
אטריות שעועית 250 גרם	7.9		
אטריות שעועית ל.גלוטן250	8.9		
איבריקו צ'אנק 150 גרם	21.9		
איולי חריף 250 גרם	14.9		
איולי לימון 250 גרם	14.9		
איולי עשבי תיבול 250 גרם	14.9		
איולי פסטו 250 גרם	14.9		
איולי שום 250 גרם	14.9		
איזי שאלוט 350 גרם	14.9		
איטריות בינוניות 400 גרם	5.9		
איטריות ביצים דקיקות 500	15.5		
איטריות דקות 400 גרם	5.9		
איטריות דקיקות 400 גרם	5.9		
"איטריות ל.גלוטן כל""פ300ג"	11.9		
איטריות להקפצה נודלס400ג	8.9		
איילנד מנגו 1 ליטר	10.6		
איילנד נקטר גויאבה 1ליטר	10.6		
"אייס סמירנוף בק.275 מ""ל"	16.9		
אייס קפה 1.6% מעודן 230מ	8.9		
אייס קפה 1.6% קלאסי 230מ	8.9		
אייס קפה 350 גרם	19.9		
"אייס קפה GO תנובה 340מ""ל"	8.9		
אייס קפה דיאט 245 גרם	23.0		
אייס קפה יטבתה 2% 1ל	12.3		
אייס קפה סוויטנג 250 גרם	41.9		
אייס קפוצ'ינו 1 ליטר	13.4		
איירוויבז Mאוכמניות 84גר	16.4		
איירוויבז מנטה M 84 גרם	16.4		
איירוויק ספריי לבנדר300מ	15.9		
אינטרלוד מגן תחתון	10.9		
אינסטנ.פודינג ריבת חלב84	5.9		
אינסטנט פודינג וניל 50גר	13.5		
אינסטנט פודינג וניל 80גר	5.9		
אינסטנט פודינג שוקולד88ג	5.9		
איק.אבוקדו פורל סלמון180	18.9		
איקרה אדומה 200 גרם	17.9		
איקרה ביתית ורודה 300 גר	20.9		
איקרה ביתית לבנה 300 גרם	20.9		
איקרה טרוטונית והרינג180	18.9		
איקרה לבנה 200 גרם	17.9		
איקרה עם פורל וסלמון180ג	18.9		
אירויק חשמלי+מילוי קיץ19	27.9		
אירויק מכשיר חלום קיץ250	44.9		
אירויק+מקל. ריח כביסה30מ	18.9		
אירופה פקט	390.0		
אירן משקה יוגורט	10.0		
אל אם בלו ארוך חפיסה	41.0		
אל אם בלו קצר חפיסה	41.0		
אל אם וויב סלימס חפיסה	41.0		
אל אם רד קצר פאקט	405.0		
אל די ארוך פאקט	355.0		
אל די סלימס חפיסה	35.0		
אל סבון כחול קמיל 1ליטר	17.5		
אל סבון לידיים מארז500*3	10.9		
אל סבון לילדים700מ פינוק	17.5		
אל סבון סנסיטיב קמיל 1 ל	33.9		
אל סבון קידס ויטמינים750	17.9		
אל סבון קמיל סנסיטיב500	19.9		
אל סבון קמיל קלאסיק 1ליט	24.9		
אל סבון קמיל קלאסיק500מ	14.5		
אל סבון קמיל קלין&קאלם	17.5		
אל סבון שיבולת שועל	24.9		
"אל תוש 70 מ""ל Z-ZERO"	10.0		
אל תוש אלוורה 70מ Z-ZERO	10.0		
אלביב מסכת תלתלים 680 מל	39.9		
אלביב מרכך הידרה הילורונ	19.9		
אלביב מרכך הידרה פיור	19.9		
אלביב מרכך לוכד ברק500מל	19.9		
אלביב מרכך מטפח מגן500מל	19.9		
אלביב מרכך משקם 500 מל	19.9		
אלביב שמפו מעצים ברק500מ	19.9		
אלכו ג'ל בשפורפרת H 75מ	11.9		
"אלכסנדר גרין 330 מ""ל"	14.9		
אלנט ספריי חזק מאוד200מ	19.9		
אלסב.קמיל ניקוי יסודי1ל	17.5		
אלסבון בייבי סגול 900מ	23.9		
אלסבון בלוסום סיישל 1 לי	9.9		
אלסבון בלוסום500*3	10.9		
אלסבון לבנדר סיישל 1 ליט	9.9		
אלסבון לבנדר500*3מ	10.9		
אלסבון מוצק 3ב1 דאב90*6ג	22.9		
אלסבון פרש 1ל XPO	13.9		
אלסבון פרש סיישל 1 ליטר	9.9		
אלסבון קטיפתי רוז 1ל XPO	13.9		
אלסבון קמיל ורדים 1ל	17.5		
אלף האיים לייט הלמנס305ג	14.5		
אלפא דוג חטיף סלסולי בקר	9.9		
אלפרו בריסטה ש.שועל500מ	7.9		
"אלפרו לבישול סויה 250 מ"""	12.1		
אלפרו ש.שועל וניל עוג1.ל	11.9		
"אלפרו שקדים לל""ס 1 ליטר"	11.9		
אמנון שלם נקי טרי קג	39.9		
אמפנדה מן הצומח 400 גרם	31.9		
"אמרלד ריזלינג P.C 750מ""ל"	46.9		
אמרלד ריזלינג סלקטד750מל	32.9		
אנדיב / עולש	15.9		
אנדיב אדום 220 גרם	18.9		
אנטרטיק לניקוי אמבטיה1ל	9.9		
אנטרטיק מרסס 1 ליטר	10.9		
אנטריקוט בורגר 400 גרם	29.9		
אנטריקוט דק דק אל גאוצו	19.9		
אנטריקוט טרי	149.0		
אנטריקוט טרי מוכשר	149.0		
"אנטריקוט ע""ח ע""ע טרי לקג"	119.9		
אנטריקוט עם עצם טרי ארוז	149.9		
אנטריקוט עם עצם טרי מחיר	99.9		
אננס טבעי ללא סוכר מחיר	120.0		
אננס מיובש טבעי ללא סוכר	89.0		
אננס מיובש מסוכר	25.0		
אננס קפוא 300גרם	18.5		
אנסלטיסמה קוסקוס+טונה160	18.5		
אנרג'י מצופה טעמי 24*6ג	14.5		
אנרג'י מצופה שוקולד28*6ג	14.5		
אנרגי תחתית פסק זמן33*6ג	14.5		
אנרגי תחתית שוק.חלב24*6ג	14.5		
אנשובי בשמן זית צנצנ100ג	17.5		
אנשובי בשמן חמני. ולימון	25.9		
אנשובי בשמן עם צ'ילי80ג	25.9		
"אנתוש דוחה יתושים 50 מ""ל"	14.9		
"אסאדו עם עצם -חב""ד קפוא"	69.9		
אסאדו עם עצם טרי מחיר לפ	69.9		
אסטוניש טבליות לאסלה 8 י	18.9		
אסטוניש מסיר השומנים 750	15.9		
אסטוניש מרסס חדר אמבט750	13.9		
אסטוניש מרסס למטבח 750מ	13.9		
אסטוניש מרסס לניקוי750	16.9		
אסטוניש פרימיום למטבח750	16.9		
אסטוניש פרמיום לבית 750	16.9		
"אסטוניש רסס ונגב 750 מ""ל"	13.9		
אסייתית צבעונית ועשירה 8	25.9		
אסם פתיבר דובי שוקולד175	12.9		
אספרגוס ירוק	24.9		
אספרגוס לבן שלם 330 גרם	10.0		
אספרגוס מקולף	11.9		
אסקימוס וניל שוקו RUD 70	6.9		
אסקימוס פיסטוק שוקולדRUD	8.9		
"אפונה 1 ק""ג סוגת"	11.9		
אפונה 500 גרם סוגת	6.9		
אפונה וגזר 550 גרם	10.0		
אפונה וגזר 800 גרם	19.9		
אפונה ירוקה 380 גרם	8.9		
אפונה ירוקה וגזר קפוא800	19.9		
אפונה ירוקה מוקפאת 800ג	16.9		
אפונה ירוקה מוקפאת 800גר	17.9		
אפונה ירוקה עדינה600ג	18.9		
"אפונה ירוקה שופרסל 1 ק""ג"	8.9		
אפונה ירוקה שופרסל500גרם	5.9		
אפונה מטוגנת	50.0		
אפונה מטוגנת בקופסא 200	13.9		
אפונה עדינה 600 גרם	19.9		
אפונה עדינה קפוא אורג600	25.9		
אפונת גינה גדול יכין550ג	10.0		
אפונת גינה קטנה 550 גרם	10.0		
אפיפיות ט.שוקולד ל.ג200ג	9.9		
אפקטיב קר לבנדר 350מ	12.9		
אפקטיב קר ק.גוף קוקוס450	28.9		
אפקטיב קר ק.לחות פורטה *	26.9		
אפקטיב קר תה ירוק 350מ	12.9		
אפרול 1 ליטר	89.9		
אפרופו 100 גרם	10.5		
אפרופו 50 גרם	4.9		
אפרופו 50*3 גרם	15.9		
אפרופו איטליאנו 50 גרם	4.9		
אפרופו קלאסי מארז 25*5גר	15.9		
אפרסק 60	11.9		
אצבעונים פלוס TOGO	20.5		
אצבעות בסקוויט ציפוי שוק	22.9		
אצבעות בצק פילו גבינה	17.9		
אצבעות גב.מוצרלה 21.5*8ג	20.5		
אצבעות טלה טרי קג	89.9		
אצבעות עמק חטיף גבינה172	19.6		
אצבעות שוקולד 252 גרם	24.9		
אצבעות שוקולד וניל במשקל	76.0		
אצבעות שוקולד קינדר100גר	11.9		
אצבעות שוקולד קינדר50גרם	6.9		
אצבעות שניצל בשומשום 700	43.9		
"אציטון 100% 100 מ""ל"	5.9		
אקוה פרש לשיני חלב 0-5 5	11.9		
אקוהפרש לגילאי 6-8 שנים	11.9		
"אקווה פרש מנטה 100*3 מ""ל"	19.9		
"אקווה פרש עדין 100*3 מ""ל"	19.9		
אקונומיקה מבושמת 4ל XPO	8.9		
אקונומיקה סמיכה 4ל XPO	8.9		
אקופרנד ג'ל כביסה 4 ליטר	49.9		
"אקטיב קאפ ירוק 300 מ""ל"	50.9		
אקטיביה 3% מארז 150*8 גר	23.5		
אקטיביה 3% שומן 200 גרם	4.8		
"אקטיביה ש""ש פשתן וציה150"	4.9		
אקטיביה ש.שועל שזיף150גר	4.9		
"אקטימל לבן 100*8 מ""ל"	19.9		
אקטימל פלוס תות+דוב100*8	19.9		
"אקטימל תות בננה 100*8מ""ל"	19.9		
אקטימל תות מארז 108*16ג	34.9		
אקס 3ב1ג'ל רחצה אייס400מ	14.9		
אקס 3ב1ג'ל רחצה אפולו400	14.9		
אקס דאו.סטיק שוקולד 77ג	22.9		
אקס דאו.ספריי גולד 150מל	22.9		
אקס ספריי אקווה 150מל	20.9		
אקס ספריי בלו לבנדר 150מ	20.9		
אקס ספריי גרניום 150מל	20.9		
אקס ספריי קופר סנטל150מל	20.9		
אקסטרים וניל	10.9		
אקסטרים מטבע שוקולד חלב	11.9		
אקסטרים שוקו וניל פרווה	33.9		
אקסלנס בלונד בהיר מס01'	39.9		
אקסלנס בלונד בהיר מס8.1'	39.9		
אקסלנס חום מהגוני מס4.54	39.9		
אקספלורר אדפ לגבר 100 מל	189.0		
ארבע גבינות מגורדות 300ג	19.9		
ארגום מנות סלמון קפוא	39.9		
ארגום פילה אמנון עורקפוא	14.9		
ארגום פילה אמנוןפ.ע קפוא	44.9		
ארגום פילה סלמון ע.עקפוא	49.9		
ארוחת אטריות אורז+רוט170	19.5		
ארוחת מקרוני עם גבינה206	12.9		
ארוחת נודלס בטעם בשר 70	5.5		
ארוחת נודלס בטעם בשר 85	3.9		
ארוחת נודלס בטעם עוף70ג	5.5		
ארוחת נודלס טום יאם70ג	5.5		
ארוחת פסטה בולונז 65 גרם	7.9		
ארוחת פסטה+רוטב גבינה156	12.9		
"ארוסול קצף לאסלות 400מ""ל"	20.9		
ארטישוק ירושלמי קפוא 400	23.9		
ארטישוק תחתיות 400 גרם	23.9		
"ארטישוק/תפו""א ירושלמי"	17.9		
אריאל אבקת כביסה7קג	65.9		
אריאל ג'ל ניחוח הרים 1.7	34.9		
אריאל גלניחוח הרים1.95ל	39.9		
אריאל קפס לשמירת בד41יח	59.9		
אריאל קפס' לכתמים 41יח	59.9		
אריסה חריפה 250 גרם	15.1		
אריסה מרוקאית 250 גרם	16.5		
אריסה מתוקה 250 גרם	16.5		
אריסה תוניסאית 250 גרם	16.5		
ארלה גב.שמנת טעם טבעי200	13.9		
ארלה גב.שמנת ע.תיבול200ג	13.9		
